id,timestamp,energy_kwh,location,sector,consumer_id,price,total
aeb2ca52-f669-4684-82d7-4f2455c1a58e,2023-01-01T23:59:00,48.97,New York,residential,CON-USA-RES-1,0.1234,6.04
8dcb64cc-648a-4d3d-b324-5663ea5a4775,2023-01-01T23:59:00,0.0,New York,residential,CON-USA-RES-2,0.0,0.0
42a4a4ea-ea77-47f1-8416-085fe3bfb531,2023-01-01T23:59:00,49.37,New York,industrial,CON-USA-IND-1,0.2363,11.67
c3b453ab-974b-4b8f-b547-aee8e6688d4d,2023-01-01T23:59:00,42.47,Texas,commercial,CON-USA-COM-1,0.2275,9.66
d3e9c7a0-ef8f-452d-bf8b-c86954ae9b44,2023-01-01T23:59:00,27.67,Texas,residential,CON-USA-RES-3,0.1605,4.44
b2caac4e-4f2f-4a48-b93b-f7b6b6984152,2023-01-01T23:59:00,53.57,London,residential,CON-UK-RES-1,0.1465,7.85
74fef8ce-473b-465d-a47a-868a1dc74ea7,2023-01-01T23:59:00,42.69,London,commercial,CON-UK-COM-1,0.2477,10.57
7a2b5c4c-da12-4a21-bdf3-e20f33652f22,2023-01-01T23:59:00,56.36,Manchester,industrial,CON-UK-IND-1,0.1964,11.07
bafb6245-e9b3-4908-a7aa-0ba6bd492ab8,2023-01-01T23:59:00,44.92,Sydney,residential,CON-AUS-RES-1,0.1505,6.76
d522af88-858e-4f9e-93f5-ebca60ba451b,2023-01-01T23:59:00,48.69,Sydney,commercial,CON-AUS-COM-1,0.2799,13.63
38110fe8-eb0e-4453-9d12-4c2cf78a6fa2,2023-01-01T23:59:00,39.39,Melbourne,industrial,CON-AUS-IND-1,0.123,4.84
371c99b2-44c7-4fd3-840a-6361607115e6,2023-01-02T23:59:00,52.64,New York,residential,CON-USA-RES-1,0.1602,8.43
d241fda3-f3c0-4aac-8eda-6aa202c24a9b,2023-01-02T23:59:00,0.0,New York,residential,CON-USA-RES-2,0.0,0.0
d29a2afa-fe3b-4eb6-a819-11f9b7ad719b,2023-01-02T23:59:00,50.88,New York,industrial,CON-USA-IND-1,0.2089,10.63
770b2f92-2686-4666-9c43-81cfa30f9677,2023-01-02T23:59:00,41.49,Texas,commercial,CON-USA-COM-1,0.2573,10.68
4ec9cf50-57f5-45b6-a943-e49c7674e2d4,2023-01-02T23:59:00,33.56,Texas,residential,CON-USA-RES-3,0.1892,6.35
da8c324a-f557-47e0-8b58-e862787cdbd1,2023-01-02T23:59:00,51.89,London,residential,CON-UK-RES-1,0.1619,8.4
5304734e-df80-400f-95ba-01755ea74746,2023-01-02T23:59:00,37.99,London,commercial,CON-UK-COM-1,0.2683,10.19
4c122243-5979-42f2-8fe4-3ade79874f67,2023-01-02T23:59:00,57.2,Manchester,industrial,CON-UK-IND-1,0.2035,11.64
2f135f06-ee2f-4434-87d7-e75e9d5c0bfd,2023-01-02T23:59:00,50.39,Sydney,residential,CON-AUS-RES-1,0.1701,8.57
dd465901-4015-4eba-8bdf-6000db1e4e36,2023-01-02T23:59:00,52.64,Sydney,commercial,CON-AUS-COM-1,0.2285,12.03
51b7c97c-abb9-4446-928a-2a619b329244,2023-01-02T23:59:00,37.13,Melbourne,industrial,CON-AUS-IND-1,0.2007,7.45
489ad8ad-a40f-4ae6-bc57-5ab1e3541bde,2023-01-03T23:59:00,49.54,New York,residential,CON-USA-RES-1,0.1563,7.74
a3299939-35ed-4087-b639-80f10b646771,2023-01-03T23:59:00,0.0,New York,residential,CON-USA-RES-2,0.0,0.0
81c88145-4461-4da9-94e5-a4ad391836d6,2023-01-03T23:59:00,52.07,New York,industrial,CON-USA-IND-1,0.1464,7.62
8c29ab7a-4d8b-4793-affd-700ed6401f2b,2023-01-03T23:59:00,43.73,Texas,commercial,CON-USA-COM-1,0.1848,8.08
dd7313f3-a177-408a-950f-c4825232ac62,2023-01-03T23:59:00,27.95,Texas,residential,CON-USA-RES-3,0.122,3.41
365af0fb-5598-4119-b814-09a28e188c83,2023-01-03T23:59:00,51.39,London,residential,CON-UK-RES-1,0.1748,8.98
94957f4d-b0fa-4937-b0dc-e4de4bc0afae,2023-01-03T23:59:00,37.64,London,commercial,CON-UK-COM-1,0.1714,6.45
045d9546-01fd-465e-aba1-76bd3c82eb26,2023-01-03T23:59:00,57.53,Manchester,industrial,CON-UK-IND-1,0.1485,8.54
e509b96b-d4b4-4b1a-ad1e-9ae338f5f346,2023-01-03T23:59:00,45.17,Sydney,residential,CON-AUS-RES-1,0.1074,4.85
649cc1c5-c04b-43f6-a211-57fa4a50d09b,2023-01-03T23:59:00,55.41,Sydney,commercial,CON-AUS-COM-1,0.1831,10.15
b1dbc2d9-9099-493d-9e6e-78dc8bfad66b,2023-01-03T23:59:00,42.82,Melbourne,industrial,CON-AUS-IND-1,0.2431,10.41
e81bf84c-8617-42d5-9f3f-f8fe997f9f3c,2023-01-04T23:59:00,49.34,New York,residential,CON-USA-RES-1,0.1534,7.57
04043468-98c2-482f-b26f-87135173641d,2023-01-04T23:59:00,55.33,New York,residential,CON-USA-RES-2,0.1958,10.83
c728bb09-d9c7-4b79-8642-b72438867364,2023-01-04T23:59:00,47.03,New York,industrial,CON-USA-IND-1,0.1223,5.75
f526901e-b16d-421b-a3d3-b4639405ada0,2023-01-04T23:59:00,42.72,Texas,commercial,CON-USA-COM-1,0.1776,7.59
d59a3d9b-eb51-4d10-903e-125446c6eec1,2023-01-04T23:59:00,32.28,Texas,residential,CON-USA-RES-3,0.188,6.07
cf2abcde-7ed4-4e56-9742-20ae5e386545,2023-01-04T23:59:00,58.34,London,residential,CON-UK-RES-1,0.1074,6.27
634826c1-87ed-4b0a-8e6b-aaeaf9c2d62e,2023-01-04T23:59:00,38.86,London,commercial,CON-UK-COM-1,0.2327,9.04
63f2b12b-db35-4908-8c62-6f11c507c919,2023-01-04T23:59:00,58.16,Manchester,industrial,CON-UK-IND-1,0.2077,12.08
6c9a7c5d-a9e2-4f73-ad28-2f63aeeb8788,2023-01-04T23:59:00,46.57,Sydney,residential,CON-AUS-RES-1,0.1453,6.77
590ccf8a-097e-4e81-912b-cb07cbb92360,2023-01-04T23:59:00,45.47,Sydney,commercial,CON-AUS-COM-1,0.1974,8.98
e133a18d-d7ff-4cc3-b05a-c00ba229dca2,2023-01-04T23:59:00,37.58,Melbourne,industrial,CON-AUS-IND-1,0.1837,6.9
e0d11f57-afa9-4e68-bd7d-6a4b16a4b444,2023-01-05T23:59:00,53.57,New York,residential,CON-USA-RES-1,0.1184,6.34
ddd1f47a-5adb-450a-a2cb-f4aab48bd1cd,2023-01-05T23:59:00,0.0,New York,residential,CON-USA-RES-2,0.0,0.0
