id,timestamp,energy_kwh,source,location,system_id
ac0c9f49-5d10-4d3a-98c7-dabbb6efbbf4,2023-01-01T23:59:00,88.05,wind,USA,SYS-USA-WIND-1
3c316356-a9e4-4bc0-9739-22c89578c24c,2023-01-01T23:59:00,95.8,wind,USA,SYS-USA-WIND-2
2d24ecb4-cc0f-4318-ba92-f386f1939664,2023-01-01T23:59:00,1.41,solar,USA,SYS-USA-SOLAR-1
7e6b2080-fafd-420c-ac92-b4d8e59af69d,2023-01-01T23:59:00,1.98,solar,USA,SYS-USA-SOLAR-2
4a233182-1312-44fe-a1f6-1a6524a460e0,2023-01-01T23:59:00,84.81,solar,USA,SYS-USA-SOLAR-3
9dbdf599-ce65-460b-8304-c910c61fe8c5,2023-01-01T23:59:00,61.24,biomass,USA,SYS-USA-BIO-1
f5ee2934-f41b-4e43-b95e-3925fd3b921c,2023-01-01T23:59:00,88.89,wind,UK,SYS-UK-WIND-1
24d41faa-31fa-4ab8-8385-156371549d5a,2023-01-01T23:59:00,79.47,wind,UK,SYS-UK-WIND-2
77bf6bc9-5283-4cb5-a715-56080c962706,2023-01-01T23:59:00,6.9,wind,UK,SYS-UK-WIND-3
f6551b92-a561-4828-a6ab-904e85cef5f8,2023-01-01T23:59:00,72.26,solar,UK,SYS-UK-SOLAR-1
792e6d34-8559-4172-a34d-3e32425b8800,2023-01-01T23:59:00,6.33,solar,UK,SYS-UK-SOLAR-2
51fd28e5-d40d-460c-af2a-13b6aad40ab3,2023-01-01T23:59:00,90.04,wind,Australia,SYS-AUS-WIND-1
25c53bea-c5c2-4532-ab6f-5f26de0b3512,2023-01-01T23:59:00,2.57,solar,Australia,SYS-AUS-SOLAR-1
eaa2c62d-5ca1-4f81-b170-9bbcd3ab4e3b,2023-01-01T23:59:00,89.67,solar,Australia,SYS-AUS-SOLAR-2
460bfed1-0a21-4dde-b42d-0b4933f2bcc3,2023-01-01T23:59:00,53.69,biomass,Australia,SYS-AUS-BIO-1
20e951af-ceea-492f-a762-103af4ece055,2023-01-02T23:59:00,93.96,wind,USA,SYS-USA-WIND-1
2b3691fa-2e96-4549-b937-6e3a51cea02e,2023-01-02T23:59:00,89.93,wind,USA,SYS-USA-WIND-2
7784260e-6944-4025-957b-9470e64cc938,2023-01-02T23:59:00,70.87,solar,USA,SYS-USA-SOLAR-1
3d452b25-2769-4bca-9b70-ad7fa4c2a880,2023-01-02T23:59:00,7.17,solar,USA,SYS-USA-SOLAR-2
4cd032a8-b627-42bd-8890-7c8341d0f6d1,2023-01-02T23:59:00,5.06,solar,USA,SYS-USA-SOLAR-3
b464a873-17c7-4a30-b22e-d030245b0763,2023-01-02T23:59:00,66.18,biomass,USA,SYS-USA-BIO-1
c14fb3fc-a8b2-4ddd-b4fb-0dde0b76fb60,2023-01-02T23:59:00,5.25,wind,UK,SYS-UK-WIND-1
8b3f418b-ac93-42a2-878d-c9b709031ac5,2023-01-02T23:59:00,6.27,wind,UK,SYS-UK-WIND-2
c82d0401-dda1-42f5-9e70-dfa6488225a1,2023-01-02T23:59:00,76.96,wind,UK,SYS-UK-WIND-3
5cf70cc2-dab5-4dac-bdb3-8c36611617ce,2023-01-02T23:59:00,5.43,solar,UK,SYS-UK-SOLAR-1
41dd386b-df78-4399-a4f4-b6e929f5b3a8,2023-01-02T23:59:00,68.29,solar,UK,SYS-UK-SOLAR-2
c4e06509-2a31-47cd-bf6f-fd27c511d48b,2023-01-02T23:59:00,81.76,wind,Australia,SYS-AUS-WIND-1
98a5009e-cd39-4e5b-bf60-b9ffd8138bab,2023-01-02T23:59:00,1.67,solar,Australia,SYS-AUS-SOLAR-1
c19a20f3-27f0-4c59-b065-9a08142831a4,2023-01-02T23:59:00,84.88,solar,Australia,SYS-AUS-SOLAR-2
debfb67a-257b-44df-83a1-25d0c01cf215,2023-01-02T23:59:00,53.02,biomass,Australia,SYS-AUS-BIO-1
f7a38efe-f5d0-4026-8168-3a01f2f07a25,2023-01-03T23:59:00,5.03,wind,USA,SYS-USA-WIND-1
5b4140f8-c971-42e7-abb0-d0ebe0673ff7,2023-01-03T23:59:00,92.87,wind,USA,SYS-USA-WIND-2
5b3aeb62-faa2-4c50-bd95-698943927167,2023-01-03T23:59:00,75.43,solar,USA,SYS-USA-SOLAR-1
40641a1e-abd9-4d84-97d5-ee8072beaeeb,2023-01-03T23:59:00,79.09,solar,USA,SYS-USA-SOLAR-2
41dddac4-a098-4d4f-b28b-963d522a0181,2023-01-03T23:59:00,85.2,solar,USA,SYS-USA-SOLAR-3
483f4997-727a-4dc4-b3ae-713dfbab2ef1,2023-01-03T23:59:00,63.16,biomass,USA,SYS-USA-BIO-1
7ab9413d-4d2b-40a5-8a61-dd94f74e864d,2023-01-03T23:59:00,82.14,wind,UK,SYS-UK-WIND-1
f5829506-1701-4cc5-81c6-ec23fe2d5f55,2023-01-03T23:59:00,76.28,wind,UK,SYS-UK-WIND-2
82de7329-1c24-4997-ae2f-4211c3b21a0e,2023-01-03T23:59:00,4.24,wind,UK,SYS-UK-WIND-3
4f29ee11-7ff8-4e3a-b611-768a3754ef57,2023-01-03T23:59:00,71.9,solar,UK,SYS-UK-SOLAR-1
56e8a524-6bfa-4d24-9a23-f3319eeb31f4,2023-01-03T23:59:00,4.68,solar,UK,SYS-UK-SOLAR-2
7612f7f9-0598-407f-8819-233ccdbdc39f,2023-01-03T23:59:00,88.76,wind,Australia,SYS-AUS-WIND-1
